Wall time,Step,Value
1666739352.6472352,2048,-770.5743408203125
1666739355.23632,4096,-1602.60009765625
1666739357.801673,6144,-1388.731689453125
1666739360.344061,8192,-1425.5189208984375
1666739362.9121768,10240,-1321.7291259765625
1666739365.451607,12288,-1361.8604736328125
1666739368.016191,14336,-1052.1505126953125
1666739370.93791,16384,-889.7171630859375
1666739374.022183,18432,-788.4260864257812
1666739376.7972229,20480,-687.3442993164062
1666739379.725981,22528,-598.246337890625
1666739382.737192,24576,-528.3998413085938
1666739385.562665,26624,-512.6067504882812
1666739388.4606469,28672,-488.7155456542969
1666739391.429527,30720,-454.2982482910156
1666739394.4476118,32768,-424.65924072265625
1666739397.386842,34816,-306.1025085449219
1666739400.226586,36864,-239.09326171875
1666739402.924567,38912,-214.7839813232422
1666739405.6207612,40960,-201.69427490234375
1666739408.30702,43008,-172.58030700683594
1666739411.34319,45056,-156.4443359375
1666739413.985346,47104,-145.84898376464844
1666739416.4940329,49152,-138.65472412109375
1666739419.806141,51200,-125.87535095214844
1666739422.368209,53248,-116.84870147705078
1666739425.092951,55296,-111.21967315673828
1666739428.241007,57344,-106.72108459472656
1666739431.806444,59392,-99.86431884765625
1666739434.8624058,61440,-86.10345458984375
1666739437.865983,63488,-76.57444763183594
1666739440.785726,65536,-68.90689086914062
1666739443.7352252,67584,-65.21741485595703
1666739446.321744,69632,-58.808189392089844
1666739449.111202,71680,-55.15069580078125
1666739452.315228,73728,-52.44843673706055
1666739455.288975,75776,-51.61548614501953
1666739458.506759,77824,-50.93793487548828
1666739461.782905,79872,-48.66100311279297
1666739464.505793,81920,-45.769195556640625
1666739467.297981,83968,-46.80956268310547
1666739470.2488132,86016,-48.22362518310547
1666739472.953707,88064,-45.142459869384766
1666739475.755142,90112,-45.532920837402344
1666739478.4783528,92160,-45.30451583862305
1666739481.1908522,94208,-46.22982406616211
1666739483.891252,96256,-46.32513427734375
1666739486.531614,98304,-45.99043273925781
1666739489.13964,100352,-44.445098876953125
1666739492.1273339,102400,-45.06916046142578
1666739495.194411,104448,-44.30189895629883
1666739498.323481,106496,-43.62601089477539
1666739501.340204,108544,-43.57936477661133
1666739504.262943,110592,-42.48273468017578
1666739506.930579,112640,-42.00253677368164
1666739509.778712,114688,-42.24875259399414
1666739512.683875,116736,-43.26668167114258
1666739515.4264472,118784,-43.22445297241211
1666739518.2793128,120832,-42.880985260009766
1666739521.42723,122880,-43.1966667175293
1666739524.431196,124928,-43.031803131103516
1666739527.428732,126976,-41.05802536010742
1666739530.247169,129024,-41.736820220947266
1666739533.208404,131072,-41.47418212890625
1666739536.145117,133120,-40.96977615356445
1666739538.966933,135168,-40.58365249633789
1666739541.906112,137216,-41.08442306518555
1666739544.631525,139264,-40.67639923095703
1666739547.393996,141312,-40.50471115112305
1666739550.1072571,143360,-40.79011154174805
1666739552.761272,145408,-41.42158126831055
1666739555.400546,147456,-41.4631462097168
1666739558.087132,149504,-40.91892623901367
1666739561.5838761,151552,-40.660606384277344
1666739564.891902,153600,-40.6939811706543
1666739567.972801,155648,-41.600074768066406
1666739570.979338,157696,-41.33803176879883
1666739573.88304,159744,-41.74968338012695
1666739576.704618,161792,-41.755008697509766
1666739579.337952,163840,-40.49190139770508
1666739581.887542,165888,-41.00277328491211
1666739584.3868248,167936,-41.12708282470703
1666739586.8578298,169984,-40.73664093017578
1666739589.391618,172032,-43.406288146972656
1666739591.878408,174080,-40.56626510620117
1666739594.397148,176128,-40.54008483886719
1666739596.8883462,178176,-40.274654388427734
1666739599.391854,180224,-40.1039924621582
1666739601.881943,182272,-40.331478118896484
1666739604.570066,184320,-40.52878189086914
1666739607.690162,186368,-40.318782806396484
1666739610.744179,188416,-39.98600387573242
1666739613.5602949,190464,-39.8626594543457
1666739616.193682,192512,-39.52025604248047
1666739618.7742028,194560,-39.454429626464844
1666739621.333437,196608,-39.50273513793945
1666739623.866696,198656,-39.17353057861328
1666739626.507,200704,-39.22140121459961
