Wall time,Step,Value
1666804897.090014,2048,-1839.9586181640625
1666804900.190136,4096,-1553.398193359375
1666804902.945961,6144,-1667.8880615234375
1666804905.8040152,8192,-1716.321533203125
1666804908.54026,10240,-1821.7464599609375
1666804911.248276,12288,-1606.7747802734375
1666804913.748435,14336,-1381.2232666015625
1666804916.282269,16384,-1153.5782470703125
1666804919.067899,18432,-1077.7518310546875
1666804921.9913769,20480,-934.9314575195312
1666804924.8594098,22528,-831.8690795898438
1666804928.080352,24576,-730.6185913085938
1666804931.253686,26624,-672.35498046875
1666804933.732536,28672,-619.3622436523438
1666804936.693934,30720,-584.2844848632812
1666804939.3324192,32768,-551.8028564453125
1666804942.058005,34816,-552.925537109375
1666804944.5588439,36864,-535.5541381835938
1666804947.140235,38912,-525.065673828125
1666804949.7104352,40960,-512.8596801757812
1666804952.478702,43008,-464.5737609863281
1666804955.149025,45056,-389.11114501953125
1666804957.732936,47104,-377.13653564453125
1666804960.428114,49152,-354.8501892089844
1666804963.215808,51200,-345.8465881347656
1666804966.146205,53248,-340.17816162109375
1666804968.808874,55296,-331.1101989746094
1666804971.3509388,57344,-323.9353332519531
1666804973.914669,59392,-313.4918212890625
1666804976.4447072,61440,-294.33642578125
1666804979.019871,63488,-271.0385437011719
1666804981.856689,65536,-251.11851501464844
1666804984.423954,67584,-212.7913818359375
1666804987.179286,69632,-192.11721801757812
1666804989.7466,71680,-173.9307098388672
1666804992.298681,73728,-160.56387329101562
1666804994.839869,75776,-145.22390747070312
1666804997.384468,77824,-132.96925354003906
1666804999.887315,79872,-126.1510238647461
1666805002.421694,81920,-118.65302276611328
1666805004.957694,83968,-109.54503631591797
1666805007.4725142,86016,-105.04630279541016
1666805010.021308,88064,-100.6167984008789
1666805012.521858,90112,-96.36292266845703
1666805015.3606,92160,-94.25098419189453
1666805018.087988,94208,-93.20198059082031
1666805020.776656,96256,-93.02500915527344
1666805023.3165288,98304,-92.62316131591797
1666805025.907535,100352,-92.8575668334961
1666805028.690748,102400,-92.52799987792969
1666805031.4646,104448,-92.44367218017578
1666805033.997544,106496,-92.13296508789062
1666805036.571626,108544,-92.27864074707031
1666805039.4173849,110592,-92.20187377929688
1666805041.957231,112640,-92.60324096679688
1666805044.502621,114688,-92.92579650878906
1666805047.0429718,116736,-92.69171905517578
1666805049.548404,118784,-92.56218719482422
1666805052.074688,120832,-92.71747589111328
1666805054.6264808,122880,-92.00753784179688
1666805057.185869,124928,-91.86075592041016
1666805060.021089,126976,-91.91902160644531
1666805062.5681689,129024,-91.0020980834961
1666805065.095241,131072,-91.5611801147461
1666805067.599966,133120,-89.86962127685547
1666805070.245893,135168,-87.54623413085938
1666805073.089706,137216,-85.75157928466797
1666805076.042485,139264,-81.67423248291016
1666805078.822266,141312,-79.2588882446289
1666805081.438259,143360,-78.09358215332031
1666805084.237586,145408,-77.11872863769531
1666805086.982205,147456,-76.49581909179688
1666805089.732258,149504,-75.88153839111328
1666805092.530828,151552,-75.17608642578125
1666805095.57361,153600,-74.66279602050781
1666805098.34928,155648,-72.82820892333984
1666805101.149216,157696,-72.05813598632812
1666805103.870155,159744,-71.94893646240234
1666805106.651259,161792,-71.37103271484375
1666805109.399559,163840,-71.11041259765625
1666805112.3064818,165888,-70.65970611572266
1666805115.367657,167936,-70.50432586669922
1666805118.2989829,169984,-70.31288146972656
1666805121.568578,172032,-70.28565979003906
1666805124.967749,174080,-70.21066284179688
1666805129.2582421,176128,-70.3045425415039
1666805132.70351,178176,-70.38861846923828
1666805136.521142,180224,-69.93807220458984
1666805139.717835,182272,-69.84204864501953
1666805142.8291469,184320,-70.1353759765625
1666805145.565152,186368,-70.25714874267578
1666805148.1735659,188416,-69.84719848632812
1666805150.813181,190464,-69.35352325439453
1666805153.458147,192512,-68.61547088623047
1666805156.052083,194560,-68.51353454589844
1666805158.646327,196608,-68.61154174804688
1666805161.2349162,198656,-68.46891784667969
1666805163.79023,200704,-68.36609649658203
